FBS Time Capsule 2010
ACC,Atlantic,Coastal,,,,,,,,,,,
BIG10,Legends,Leaders,,,,,,,,,,,
BIG12,North,South,,,,,,,,,,,
MWC,Mountain,West,,,,,,,,,,,
PAC10,North,South,,,,,,,,,,,
SEC,Eastern,Western,,,,,,,,,,,
# Team format:,Conference,Division,Name,Abbr,Prestige,Rival,,,,,,,
# ACC,,,,,,,,,,,,,
TEAM,ACC,Atlantic,Boston College,BC,65,SYR,,,,,,,
TEAM,ACC,Atlantic,Clemson,CLEM,60,SCAR,,,,,,,
TEAM,ACC,Atlantic,Duke,DUKE,50,UNC,,,,,,,
TEAM,ACC,Atlantic,Maryland,MD,70,NCST,,,,,,,
TEAM,ACC,Atlantic,South Florida,USF,70,MIA,,,,,,,
TEAM,ACC,Atlantic,Virginia Tech,VT,80,UVA,,,,,,,
TEAM,ACC,Atlantic,Wake Forest,WF,50,VAN,,,,,,,
TEAM,ACC,Coastal,Syracuse,SYR,70,BC,,,,,,,
TEAM,ACC,Coastal,South Carolina,SCAR,75,CLEM,,,,,,,
TEAM,ACC,Coastal,North Carolina,UNC,70,DUKE,,,,,,,
TEAM,ACC,Coastal,NC State,NCST,70,MD,,,,,,,
TEAM,ACC,Coastal,Miami,MIA,65,USF,,,,,,,
TEAM,ACC,Coastal,Virginia,UVA,55,VT,,,,,,,
TEAM,ACC,Coastal,Vanderbilt,VAN,45,WF,,,,,,,
# BIG10,,,,,,,,,,,,,
TEAM,BIG10,Legends,Michigan State,MSU,85,PENN,,,,,,,
TEAM,BIG10,Legends,Michigan,MICH,65,OSU,,,,,,,
TEAM,BIG10,Legends,Northwestern,NW,65,ILL,,,,,,,
TEAM,BIG10,Legends,Notre Dame,ND,70,WIS,,,,,,,
TEAM,BIG10,Legends,Rutgers,RUT,55,LOU,,,,,,,
TEAM,BIG10,Legends,Indiana,IND,60,PUR,,,,,,,
TEAM,BIG10,Legends,Iowa,IOWA,70,MINN,,,,,,,
TEAM,BIG10,Leaders,Penn State,PENN,65,MSU,,,,,,,
TEAM,BIG10,Leaders,Ohio State,OSU,85,MICH,,,,,,,
TEAM,BIG10,Leaders,Illinois,ILL,65,NW,,,,,,,
TEAM,BIG10,Leaders,Wisconsin,WIS,85,ND,,,,,,,
TEAM,BIG10,Leaders,Louisville,LOU,65,RUT,,,,,,,
TEAM,BIG10,Leaders,Purdue,PUR,55,IND,,,,,,,
